Date,Day ,Month,Year,Quarter,Open,High,Low,Close,Volume
19-11-1993,Friday,November,1993,Q4,0.248853,0.252706,0.244933,0.248853,145610863.3
22-11-1993,Monday,November,1993,Q4,0.246946,0.248853,0.243126,0.244933,178343170.8
23-11-1993,Tuesday,November,1993,Q4,0.244933,0.248853,0.23553,0.248853,220452103
24-11-1993,Wednesday,November,1993,Q4,0.246946,0.252706,0.24586,0.248853,107096086.1
26-11-1993,Friday,November,1993,Q4,0.246946,0.248853,0.243126,0.24586,51445905.02
29-11-1993,Monday,November,1993,Q4,0.243126,0.244933,0.237672,0.239442,114523259.4
30-11-1993,Tuesday,November,1993,Q4,0.239442,0.24586,0.237672,0.237672,133409251.6
01-12-1993,Wednesday,December,1993,Q4,0.241218,0.243126,0.23553,0.237672,131698339.5
02-12-1993,Thursday,December,1993,Q4,0.239442,0.241218,0.233753,0.239442,119191582.3
03-12-1993,Friday,December,1993,Q4,0.239442,0.241218,0.233753,0.237672,142653309.7
06-12-1993,Monday,December,1993,Q4,0.237672,0.244933,0.23553,0.243126,185889594.6
07-12-1993,Tuesday,December,1993,Q4,0.241218,0.243126,0.237672,0.243126,75610495.95
08-12-1993,Wednesday,December,1993,Q4,0.241218,0.243126,0.237672,0.240408,46883596.33
09-12-1993,Thursday,December,1993,Q4,0.239442,0.241218,0.224329,0.226186,216420287.5
10-12-1993,Friday,December,1993,Q4,0.228042,0.2298,0.209308,0.212863,588836071
13-12-1993,Monday,December,1993,Q4,0.212863,0.22261,0.209308,0.22261,289325222
14-12-1993,Tuesday,December,1993,Q4,0.220458,0.224329,0.218661,0.219569,347747259.9
15-12-1993,Wednesday,December,1993,Q4,0.218661,0.224329,0.218661,0.224329,146698452.6
16-12-1993,Thursday,December,1993,Q4,0.22261,0.224329,0.218661,0.221336,149642734.5
17-12-1993,Friday,December,1993,Q4,0.22261,0.224329,0.219569,0.22261,171884286.7
20-12-1993,Monday,December,1993,Q4,0.220458,0.224329,0.212863,0.21469,223847375.8
21-12-1993,Tuesday,December,1993,Q4,0.21469,0.216873,0.205464,0.207431,297375673.6
22-12-1993,Wednesday,December,1993,Q4,0.205464,0.21469,0.20357,0.211173,214775732.6
23-12-1993,Thursday,December,1993,Q4,0.205464,0.205464,0.199699,0.205464,268754787.2
27-12-1993,Monday,December,1993,Q4,0.209308,0.216873,0.205464,0.21469,189390959.5
28-12-1993,Tuesday,December,1993,Q4,0.216873,0.22261,0.21469,0.219569,188873706.6
29-12-1993,Wednesday,December,1993,Q4,0.220458,0.220458,0.21469,0.21469,127122708.6
30-12-1993,Thursday,December,1993,Q4,0.21469,0.228042,0.21469,0.224329,372482100.2
31-12-1993,Friday,December,1993,Q4,0.224329,0.228042,0.220458,0.220458,190611157.9
03-01-1994,Monday,January,1994,Q1,0.22261,0.226186,0.218661,0.225257,214961356.4
04-01-1994,Tuesday,January,1994,Q1,0.228042,0.237672,0.226186,0.237672,337694180.3
05-01-1994,Wednesday,January,1994,Q1,0.239442,0.255449,0.239442,0.254542,724871340.2
06-01-1994,Thursday,January,1994,Q1,0.254542,0.256389,0.244933,0.246946,434007675.7
07-01-1994,Friday,January,1994,Q1,0.241218,0.250631,0.23553,0.249743,353821536.7
10-01-1994,Monday,January,1994,Q1,0.248853,0.255449,0.246946,0.253327,238714877.7
11-01-1994,Tuesday,January,1994,Q1,0.252706,0.254542,0.239442,0.240408,420851161.8
12-01-1994,Wednesday,January,1994,Q1,0.243126,0.243126,0.2298,0.2298,519989552
13-01-1994,Thursday,January,1994,Q1,0.226186,0.231954,0.224329,0.230978,629499473.4
14-01-1994,Friday,January,1994,Q1,0.231954,0.239442,0.2298,0.233753,254019926.8
17-01-1994,Monday,January,1994,Q1,0.233753,0.237672,0.226186,0.228941,172547367.7
18-01-1994,Tuesday,January,1994,Q1,0.228042,0.228042,0.218661,0.221336,429617746.5
19-01-1994,Wednesday,January,1994,Q1,0.220458,0.224329,0.216873,0.220458,333450090.4
20-01-1994,Thursday,January,1994,Q1,0.22261,0.231954,0.22261,0.225257,317455337.1
21-01-1994,Friday,January,1994,Q1,0.250631,0.252706,0.243126,0.251844,1160642950
24-01-1994,Monday,January,1994,Q1,0.250631,0.265732,0.250631,0.263906,819619872.1
25-01-1994,Tuesday,January,1994,Q1,0.262078,0.263906,0.250631,0.255449,523795955.1
26-01-1994,Wednesday,January,1994,Q1,0.254542,0.256389,0.250631,0.252706,196340591.6
27-01-1994,Thursday,January,1994,Q1,0.252706,0.258128,0.248853,0.257279,156605615
28-01-1994,Friday,January,1994,Q1,0.258128,0.262078,0.254542,0.256389,161565857.3
31-01-1994,Monday,January,1994,Q1,0.252706,0.254542,0.246946,0.246946,282282705.6
